uuid,Acanthamoeba.polyphaga.mimivirus,Acaryochloris.marina,Acetoanaerobium.sticklandii,Acetobacter.aceti,Acetobacter.pasteurianus,Acetobacter.persici,Acetobacter.pomorum,Acetobacter.senegalensis,Acetobacter.sp..SLV.7,Acetobacter.tropicalis,Acetobacterium.woodii,Acetomicrobium.mobile,Acholeplasma.brassicae,Acholeplasma.laidlawii,Acholeplasma.oculi,Acholeplasma.palmae,Achromobacter.denitrificans,Achromobacter.insolitus,Achromobacter.phage.phiAxp.3,Achromobacter.sp..AONIH1,Achromobacter.spanius,Achromobacter.xylosoxidans,Acidaminococcus.fermentans,Acidaminococcus.intestini,Acidihalobacter.prosperus,Acidimicrobium.ferrooxidans,Acidiphilium.cryptum,Acidiphilium.multivorum
haib17CEM4890_H2NYMCCXY_SL254769,0,0,0.00017,0,0,0,0,0,0,0,0.00014,0,0,0,0,0,0.0012,0.00029,0,0.00036,0.00029,0.00141,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254770,0,0,9.00E-05,0,1.00E-05,0,0,0,0,0,4.00E-05,0,7.00E-05,0,0,0,0.00249,0.00124,0,0.00126,0.00274,0.00531,1.00E-05,0,1.00E-05,0,0,0
haib17CEM4890_H2NYMCCXY_SL254771,0,0,4.00E-05,0,1.00E-05,0,0,0,0,0,8.00E-05,0,2.00E-05,0,0,0,0.00121,0.00053,0,0.00066,0.00141,0.00289,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254772,0,0,0.00016,0,0,0,0,0,0,0,0.00018,0,7.00E-05,0,0,0,4.00E-05,0,0,6.00E-05,6.00E-05,9.00E-05,9.00E-05,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254773,0,0,1.00E-05,2.00E-05,9.00E-05,3.00E-05,0,2.00E-05,0,3.00E-05,0,0,0,0,0,0,0.00022,0.00014,0,0.00022,0.00019,0.00084,0,5.00E-05,0,2.00E-05,0,4.00E-05
haib17CEM4890_H2NYMCCXY_SL254774,0,0,3.00E-05,2.00E-05,1.00E-04,2.00E-05,0,0,0,0,0,0,0,0,0,0,0.00051,0.00029,0,0.00035,0.00038,0.00142,0,0,0,0,0,1.00E-05
haib17CEM4890_H2NYMCCXY_SL254775,0,0,3.00E-05,3.00E-05,6.00E-05,1.00E-05,0,4.00E-05,0,0,0,0,0,0,0,0,0.00043,0.00024,0,0.00022,0.00038,0.00128,0,2.00E-05,0,2.00E-05,0,0
haib17CEM4890_H2NYMCCXY_SL254776,0,0,0,2.00E-05,4.00E-05,5.00E-05,0,5.00E-05,0,1.00E-05,0,0,1.00E-05,0,0,0,0.00023,0.00025,0,0.00012,1.00E-04,0.00083,2.00E-05,0,0,3.00E-05,3.00E-05,4.00E-05
haib17CEM4890_H2NYMCCXY_SL254777,0,0,2.00E-05,2.00E-05,3.00E-05,2.00E-05,0,0,0,0,0,0,1.00E-05,0,0,0,0.00052,0.00016,0,4.00E-04,0.00027,0.00112,1.00E-05,0,3.00E-05,1.00E-05,2.00E-05,1.00E-05
haib17CEM4890_H2NYMCCXY_SL254778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-05,3.00E-05,0,3.00E-05,9.00E-05,0.00019,0,0,0,0,0,0
