"","Overall","taxa"
"Acetobacter.pasteurianus",0.0770561494382735,"Acetobacter.pasteurianus"
"Acetobacterium.woodii",0.0501763505582525,"Acetobacterium.woodii"
"Acetobacter.aceti",0.050062112485337,"Acetobacter.aceti"
"Acetoanaerobium.sticklandii",0.0358924630294848,"Acetoanaerobium.sticklandii"
"Acholeplasma.brassicae",0.0349644775757886,"Acholeplasma.brassicae"
"Acidaminococcus.intestini",0.0207229993928089,"Acidaminococcus.intestini"
"Acetobacter.persici",0.0160847042277356,"Acetobacter.persici"
"Acidiphilium.multivorum",0.0152425875974133,"Acidiphilium.multivorum"
"Acidimicrobium.ferrooxidans",0.0152091234474833,"Acidimicrobium.ferrooxidans"
"Acidihalobacter.prosperus",0.00580056551515967,"Acidihalobacter.prosperus"
